id;author;author-aux;author-orcid;booktitle;cdate;cdrom;cite;cite-label;crossref;editor;editor-orcid;ee;ee-type;i;journal;key;mdate;month;note;note-type;number;pages;publisher;publtype;sub;sup;title;title-bibtex;tt;url;volume;year
32;Rainer Kemp;;;;;;;;;;;https://doi.org/10.1007/BF00264258;;;Acta Inf.;journals/acta/Kemp80;2017-05-28;;;;;295-298;;;;;A Note on the Density of Inherently Ambiguous Context-free Languages.;;;db/journals/acta/acta14.html#Kemp80;14;1980
33;Yijie Han|Yoshihide Igarashi;;;;;;;;;;;https://doi.org/10.1007/BF00288975;;;Acta Inf.;journals/acta/HanI89;2017-05-28;;;;7;643-655;;;;;Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.;;;db/journals/acta/acta26.html#HanI89;26;1989
34;Horst von Brand|Ian F. Akyildiz;;;;;;;;;;;https://doi.org/10.1007/BF00263580;;;Acta Inf.;journals/acta/AkyildizB89;2017-05-28;;;;6;559-576;;;;;Computational Algorithms for Networks of Queues with Rejection Blocking.;;;db/journals/acta/acta26.html#AkyildizB89;26;1989
35;Carlo Montangero|X. J. Chen;;;;;;;;;;;https://doi.org/10.1007/BF01213078;;;Acta Inf.;journals/acta/ChenM95;2017-05-28;;;;5;415-458;;;;;Compositional Refinements in Multiple Blackboard Systems.;;;db/journals/acta/acta32.html#ChenM95;32;1995
36;Ernst-Rüdiger Olderog|Rob J. van Glabbeek|Ursula Goltz;;;;;;;;;;;https://doi.org/10.1007/s00236-014-0213-y;oa;;Acta Inf.;journals/acta/GlabbeekGO15;2018-06-26;;;;1;3-4;;;;;Special issue on Combining Compositionality and Concurrency: part 1.;;;db/journals/acta/acta52.html#GlabbeekGO15;52;2015
37;Antonella Santone;;;;;;;;;;;https://doi.org/10.1007/s00236-002-0084-5;;;Acta Inf.;journals/acta/Santone02;2017-06-02;;;;8;531-564;;;;;Automatic verification of concurrent systems using a formula-based compositional approach.;;;db/journals/acta/acta38.html#Santone02;38;2002
38;Eric C. R. Hehner;;;;;;;;;;;https://doi.org/10.1007/BF00264318;;;Acta Inf.;journals/acta/Hehner78;2017-05-28;;;;;229-243;;;;;On Removing the Machine from the Language.;;;db/journals/acta/acta10.html#Hehner78;10;1978
39;Ivan Hal Sudborough|Michael Evangelist|Moon-Jung Chung;;;;;;;;;;;https://doi.org/10.1007/BF00288774;;;Acta Inf.;journals/acta/ChungES85;2017-05-28;;;;4;379-395;;;;;Complete Problems for Space Bounded Subclasses of NP.;;;db/journals/acta/acta22.html#ChungES85;22;1985
40;Alexandre David|Guangyuan Li|Kim G. Larsen|Peter E. Bulychev;;;;;;;;;;;https://doi.org/10.1007/s00236-013-0189-z;;;Acta Inf.;journals/acta/BulychevDLL14;2017-05-28;;;;3-4;165-192;;;0,∞;;Efficient controller synthesis for a fragment of MTL;;;db/journals/acta/acta51.html#BulychevDLL14;51;2014
41;Dana Angluin|Timothy A. Budd;;;;;;;;;;;https://doi.org/10.1007/BF00625279;;;Acta Inf.;journals/acta/BuddA82;2017-05-28;;;;;31-45;;;;;Two Notions of Correctness and Their Relation to Testing.;;;db/journals/acta/acta18.html#BuddA82;18;1982
42;George Markowsky;;;;;;;;;;;https://doi.org/10.1007/BF00289311;;;Acta Inf.;journals/acta/Markowsky81;2017-05-28;;;;;363-370;;;;;Best Huffman Trees.;;;db/journals/acta/acta16.html#Markowsky81;16;1981
43;Manfred P. Stadel;;;;;;;;;;;https://doi.org/10.1007/BF00289589;;;Acta Inf.;journals/acta/Stadel81;2017-05-28;;;;;45-56;;;;;Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.;;;db/journals/acta/acta16.html#Stadel81;16;1981
44;David A. Watt;;;;;;;;;;;https://doi.org/10.1007/BF00276181;;;Acta Inf.;journals/acta/Watt77;2017-05-28;;;;;1-20;;;;;The Parsing Problem for Affix Grammars.;;;db/journals/acta/acta8.html#Watt77;8;1977
45;Derick Wood|Paul S. Amerins|Ricardo A. Baeza-Yates;;;;;;;;;;;https://doi.org/10.1007/BF01179370;;;Acta Inf.;journals/acta/AmerinsBW93;2017-05-28;;;;3;203-213;;;;;On Efficient Entreeings.;;;db/journals/acta/acta30.html#AmerinsBW93;30;1993
46;Ernst W. Mayr;;;;;;;;;;;https://doi.org/10.1007/BF00289268;;;Acta Inf.;journals/acta/Mayr81;2017-05-28;;;;;309-318;;;;;Persistence of Vector Replacement Systems is Decidable.;;;db/journals/acta/acta15.html#Mayr81;15;1981
47;Karel Culik II|Simant Dube;;;;;;;;;;;https://doi.org/10.1007/s002360050089;;;Acta Inf.;journals/acta/CulikD97;2017-05-28;;;;5;347-366;;;;;Implementing Daubechies Wavelet Transform with Weighted Finite Automata.;;;db/journals/acta/acta34.html#CulikD97;34;1997
48;Armin B. Cremers|Thomas N. Hibbard;;;;;;;;;;;https://doi.org/10.1007/BF00289044;;;Acta Inf.;journals/acta/CremersH78a;2017-05-28;;;;;293-307;;;;;Functional Behavior in Data Spaces.;;;db/journals/acta/acta9.html#CremersH78a;9;1978
49;William P. R. Mitchell;;;;;;;;;;;https://doi.org/10.1007/BF00279951;;;Acta Inf.;journals/acta/Mitchell88;2017-05-28;;;;5;497-514;;;;;Inductive Completion with Retracts.;;;db/journals/acta/acta25.html#Mitchell88;25;1988
50;Patrick Cousot|Radhia Cousot;;;;;;;;;;;https://doi.org/10.1007/BF00290704;;;Acta Inf.;journals/acta/CousotC87;2017-05-28;;;;1;1-31;;;;;Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.;;;db/journals/acta/acta24.html#CousotC87;24;1987
51;Isi Mitrani|J. H. Hine;;;;;;;;;;;https://doi.org/10.1007/BF00276184;;;Acta Inf.;journals/acta/MitraniH77;2017-05-28;;;;;61-73;;;;;Complete Parameterized Families of Job Scheduling Strategies.;;;db/journals/acta/acta8.html#MitraniH77;8;1977
52;Joseph M. Morris|Malcolm Tyrrell;;;;;;;;;;;https://doi.org/10.1007/s00236-008-0076-1;;;Acta Inf.;journals/acta/MorrisT08;2017-05-28;;;;6;441-465;;;;;Modelling higher-order dual nondeterminacy.;;;db/journals/acta/acta45.html#MorrisT08;45;2008
53;Jürgen Nehmer;;;;;;;;;;;https://doi.org/10.1007/BF00264560;;;Acta Inf.;journals/acta/Nehmer75;2017-05-28;;;;;237-255;;;;;Dispatcher Primitives for the Construction of Operating System Kernels.;;;db/journals/acta/acta5.html#Nehmer75;5;1975
54;Walter J. Savitch;;;;;;;;;;;;;;Acta Inf.;journals/acta/Savitch73;2017-03-29;;;;;249-252;;;;;A Note on Multihead Automata and Context-Sensitive Languages;;;db/journals/acta/acta2.html#Savitch73;2;1973
55;Karl Meinke;;;;;;;;;;;https://doi.org/10.1007/BF01178510;;;Acta Inf.;journals/acta/Meinke94;2017-05-28;;;;4;329-340;;;;;A Recursive Second Order Initial Algebra Specification of Primitive Recursion.;;;db/journals/acta/acta31.html#Meinke94;31;1994
56;Delphine Longuet|Frank S. de Boer|Marjan Sirjani|Mohammad Mahdi Jaghoori|Tom Chothia;;;;;;;;;;;https://doi.org/10.1007/s00236-015-0254-x|https://www.wikidata.org/entity/Q42290005;;;Acta Inf.;journals/acta/JaghooriBLCS17;2018-11-14;;;;4;343-378;;;;;Compositional schedulability analysis of real-time actor-based systems.;;;db/journals/acta/acta54.html#JaghooriBLCS17;54;2017
57;George Leih|Joost Engelfriet|Linda Heyker;;;;;;;;;;;https://doi.org/10.1007/BF01178511;;;Acta Inf.;journals/acta/EngelfrietHL94;2017-05-28;;;;4;341-378;;;;;Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.;;;db/journals/acta/acta31.html#EngelfrietHL94;31;1994
58;Pradip K. Srimani|Shyamal K. Chowdhury;;;;;;;;;;;https://doi.org/10.1007/BF00263294;;;Acta Inf.;journals/acta/ChowdhuryS87;2017-05-28;;;;5;555-564;;;;;Worst Case Performance of Weighted Buddy Systems.;;;db/journals/acta/acta24.html#ChowdhuryS87;24;1987
59;Francesca Rossi|Ugo Montanari;;;;;;;;;;;https://doi.org/10.1007/BF01178907;;;Acta Inf.;journals/acta/MontanariR95;2017-05-28;;;;6;545-596;;;;;Contextual Nets.;;;db/journals/acta/acta32.html#MontanariR95;32;1995
60;M. W. Shields|Peter E. Lauer|Piero R. Torrigiani;;;;;;;;;;;https://doi.org/10.1007/BF00266047;;;Acta Inf.;journals/acta/LauerTS79;2017-05-28;;;;;109-158;;;;;COSY - A System Specification Language Based on Paths and Processes.;;;db/journals/acta/acta12.html#LauerTS79;12;1979
61;Rudolf Berghammer;;;;;;;;;;;https://doi.org/10.1007/s00236-008-0072-5;;;Acta Inf.;journals/acta/Berghammer08;2017-05-28;;;;3;211-236;;;;;Applying relation algebra and Rel View to solve problems on orders and lattices.;;;db/journals/acta/acta45.html#Berghammer08;45;2008
62;David Pager;;;;;;;;;;;https://doi.org/10.1007/BF00263764;;;Acta Inf.;journals/acta/Pager77;2017-05-28;;;;;31-59;;;;;Eliminating Unit Productions from LR Parsers.;;;db/journals/acta/acta9.html#Pager77;9;1977
63;Matthias Olk|Peter Lipps|Reinhard Wilhelm|Ulrich Möncke;;;;;;;;;;;https://doi.org/10.1007/BF00299633;;;Acta Inf.;journals/acta/LippsMOW88;2017-05-28;;;;3;213-239;;;;;Attribute (Re)evaluation in OPTRAN.;;;db/journals/acta/acta26.html#LippsMOW88;26;1988
64;Sandeep Sen|Sanguthevar Rajasekaran;;;;;;;;;;;https://doi.org/10.1007/BF01178563;;;Acta Inf.;journals/acta/RajasekaranS92;2017-05-28;;;;1;1-15;;;;;On Parallel Integer Sorting.;;;db/journals/acta/acta29.html#RajasekaranS92;29;1992
65;Jianwen Su|Richard Hull 0001;;;;;;;;;;;https://doi.org/10.1007/BF01213204;;;Acta Inf.;journals/acta/HullS94;2017-11-11;;;;6;513-524;;;;;Domain Independence and the Relational Calculus.;;;db/journals/acta/acta31.html#HullS94;31;1994
66;Alan Fekete|John K. Lee;;;;;;;;;;;https://doi.org/10.1007/s002360050038;;;Acta Inf.;journals/acta/LeeF96;2017-05-28;;;;2;131-152;;;;;Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.;;;db/journals/acta/acta33.html#LeeF96;33;1996
67;Teuvo Laurinolli;;;;;;;;;;;https://doi.org/10.1007/BF00260924;;;Acta Inf.;journals/acta/Laurinolli78;2017-05-28;;;;;67-78;;;;;Bounded Quantification and Relations Recognizable by Finite Automata.;;;db/journals/acta/acta10.html#Laurinolli78;10;1978
68;Don Pigozzi|Gary T. Leavens;;;;;;;;;;;https://doi.org/10.1007/s002360050168;;;Acta Inf.;journals/acta/LeavensP00;2017-06-02;;;;8;617-663;;;;;A Complete Algebraic Characterization of Behavioral Subtyping.;;;db/journals/acta/acta36.html#LeavensP00;36;2000
69;Luke Hunsberger;;;;;;;;;;;https://doi.org/10.1007/s00236-015-0227-0;;;Acta Inf.;journals/acta/Hunsberger16;2017-05-28;;;;2;89-147;;;;;Efficient execution of dynamically controllable simple temporal networks with uncertainty.;;;db/journals/acta/acta53.html#Hunsberger16;53;2016
70;Maw-Shang Chang|Y. Daniel Liang;;;;;;;;;;;https://doi.org/10.1007/s002360050088;;;Acta Inf.;journals/acta/LiangC97;2017-05-28;;;;5;337-346;;;;;Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.;;;db/journals/acta/acta34.html#LiangC97;34;1997
71;Gilles Bernot|Michel Bidoit|Teodor Knapik;;;;;;;;;;;https://doi.org/10.1007/BF01177550;;;Acta Inf.;journals/acta/BernotBK94;2017-05-28;;;;7;651-671;;;;;Behavioural Approaches to Algebraic Specifications: A Comparative Study.;;;db/journals/acta/acta31.html#BernotBK94;31;1994
72;C. A. Middelburg|Jan A. Bergstra;;0000-0002-8725-0197;;;;;;;;;https://doi.org/10.1007/s00236-012-0154-2;oa;;Acta Inf.;journals/acta/BergstraM12;2018-06-26;;;;3;139-172;;;;;Instruction sequence processing operators.;;;db/journals/acta/acta49.html#BergstraM12;49;2012
